,Winery,Average Temperature (Kelvin),Average Air Pressure (hPa),Average Humidity (%),Average Daily Precipitation (mm)
2300,Tamarí winery Argentina,272.25250000000005,1020.925,75.6575,0.08000000000000002
2301,Casa de Campo winery Argentina,274.805,1017.33,77.3025,0.095
2302,Geyerhof winery Austria,274.24749999999995,1016.4425,79.965,0.295
2303,Bargetto winery US,281.61,1019.87,73.3725,0.0825
2304,Saviah winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2305,The Tribe winery US,276.885,1020.4425,71.7725,0.19
2306,Dry Creek Vineyard winery US,281.03249999999997,1018.5,79.155,0.0775
2307,Flywheel winery US,274.765,1020.09,75.65,0.1575
2308,Zeal winery New Zealand,290.48,1011.495,78.5125,0.145
2309,Christine Andrew winery US,276.885,1020.4425,71.7725,0.19
2310,Costaripa winery Italy,276.8175,1010.5775000000001,80.47,0.16999999999999998
2311,Hatzimichalis winery Greece,281.60749999999996,1016.6225,74.585,0.1325
2312,Goldwater winery New Zealand,292.88250000000005,1014.52,79.2525,0.1125
2313,Gunn Estate winery New Zealand,291.85249999999996,1012.8599999999999,83.14500000000001,0.1575
2314,Hestan winery US,281.03249999999997,1018.5,79.155,0.0775
2315,Cramele Halewood winery Romania,272.23499999999996,1018.65,84.99499999999999,0.01
2316,Reinhold Haart winery Germany,275.71,1014.9425,92.215,0.135
2317,Havens winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2318,Liparita winery US,282.2225,1020.27,71.685,0.1225
2319,Château de Lavernette winery France,277.3075,1019.2425,81.31,0.0925
2320,Hertelendy winery US,280.7575,1020.3425,73.895,0.10250000000000001
2321,Addendum winery US,281.03249999999997,1018.5,79.155,0.0775
2322,Keller winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2323,Chateau Montelena winery US,281.03249999999997,1018.5,79.155,0.0775
2324,Elizabeth Rose winery US,281.03249999999997,1018.5,79.155,0.0775
2325,Luretta winery Italy,275.725,1011.4825,87.85000000000001,0.08750000000000001
2326,Dr. Hermann winery Germany,275.71,1014.9425,92.215,0.135
2327,Bonneau winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2328,Johann Falkenburg winery Germany,275.71,1014.9425,92.215,0.135
2329,Château Tour des Gendres winery France,280.26,1023.8899999999999,86.18249999999999,0.17
2330,Maybach winery US,267.155,1018.5225,79.0875,0.01
2331,No Girls winery US,278.235,1021.165,70.06,0.1775
2332,Wild Coyote winery US,282.145,1019.67,71.3375,0.0475
2333,For a Song winery US,276.4775,1019.8925,81.3675,0.16999999999999998
2334,Danielle de l'Ansée winery France,279.05,1020.2575,89.96000000000001,0.09750000000000002
2335,Stemilt Creek winery US,269.095,1001.7425,80.53,0.065
2336,Beau Joubert winery South Africa,284.685,1018.89,79.465,0.34500000000000003
2337,Antiquum Farm winery US,276.025,1019.8875,85.45249999999999,0.057499999999999996
2338,Della winery US,276.885,1020.4425,71.7725,0.19
2339,Segal's winery Israel,274.2525,1017.13,70.66,0.14500000000000002
2340,Shiloh Winery winery Israel,285.87749999999994,1016.0225,73.035,0.10250000000000001
2341,Trivento winery Argentina,296.04,971.94,46.01,0.0125
2342,Domaine Pouillon winery US,276.0775,1020.8975,74.8725,0.135
2343,Renwood winery US,280.0375,1020.4000000000001,73.5425,0.07
2344,Roth winery US,281.03249999999997,1018.5,79.155,0.0775
2345,Watermill winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2346,Amici winery US,281.03249999999997,1018.5,79.155,0.0775
2347,Anthony Nappa winery US,272.74749999999995,1016.8375,70.14250000000001,0.14
2348,Bressia winery Argentina,296.04,971.94,46.01,0.0125
2349,Carmel winery Israel,288.0625,1020.085,76.3225,0.09
2350,Cielo winery US,280.0375,1020.4000000000001,73.5425,0.07
2351,Tiefenbrunner winery Italy,271.93,990.155,75.185,0.1275
2352,Tokara winery South Africa,293.11,1003.365,66.9275,0.255
2353,Bollig-Lehnert winery Germany,275.71,1014.9425,92.215,0.135
2354,LangeTwins winery US,280.0625,1020.4075,75.7475,0.08249999999999999
2355,Corton André winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2356,Adastra winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2357,Domaine François Lamarche winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2358,Schmitges winery Germany,275.71,1014.9425,92.215,0.135
2359,Joseph Family winery US,281.03249999999997,1018.5,79.155,0.0775
2360,Kurt Hain winery Germany,275.71,1014.9425,92.215,0.135
2361,Domaine de la Vougeraie winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2362,Mueller Family Vineyards winery US,278.52250000000004,1020.2625,76.66,0.2225
2363,Territorial winery US,276.025,1019.8875,85.45249999999999,0.057499999999999996
2364,Boekenoogen winery US,282.145,1019.67,71.3375,0.0475
2365,Nicolas Feuillatte winery France,278.11,1018.305,89.99,0.08
2366,Hugh Hamilton winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
2367,Sensorium winery US,276.695,1013.5725,87.83749999999999,0.11249999999999999
2368,Russian Hill winery US,281.03249999999997,1018.5,79.155,0.0775
2369,Sherwood House Vineyards winery US,272.74749999999995,1016.8375,70.14250000000001,0.14
2370,Villa des Anges winery France,281.9275,1019.2825,79.215,0.052500000000000005
2371,Lander-Jenkins winery US,281.03249999999997,1018.5,79.155,0.0775
2372,Laroche winery France,276.885,1020.4425,71.7725,0.19
2373,Old Soul winery US,280.23,1020.2149999999999,75.69,0.055
2374,Hervé Kerlann winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2375,Domaine de l'Echelette winery France,277.3075,1019.2425,81.31,0.0925
2376,Three Thieves winery US,277.855,1019.3675000000001,72.9025,0.355
2377,Van Loveren winery South Africa,292.28999999999996,973.66,60.6,0.0225
2378,De Wetshof winery South Africa,292.28999999999996,973.66,60.6,0.0225
2379,DeLorimier winery US,281.03249999999997,1018.5,79.155,0.0775
2380,Domaine Laleure-Piot winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2381,Glenelly winery South Africa,293.11,1003.365,66.9275,0.255
2382,Pedroncelli winery US,281.03249999999997,1018.5,79.155,0.0775
2383,Mi Terruño winery Argentina,296.04,971.94,46.01,0.0125
2384,Julien Schaal winery France,275.945,1014.6075,86.3125,0.1975
2385,Nyetimber winery England,279.13250000000005,1015.6750000000001,88.00999999999999,0.24000000000000002
2386,Lanson winery France,278.11,1018.305,89.99,0.08
2387,Cave de Turckheim winery France,275.945,1014.6075,86.3125,0.1975
2388,Schumann-Nägler winery Germany,276.745,1016.5625,85.615,0.12000000000000001
2389,J Wrigley winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2390,Lake Chalice winery New Zealand,290.48,1011.495,78.5125,0.145
2391,Stanton Vineyard winery US,281.03249999999997,1018.5,79.155,0.0775
2392,Treos winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2393,Alessandro di Camporeale winery Italy,285.8925,1021.18,72.9875,0.0375
2394,Nick Goldschmidt winery New Zealand,281.03249999999997,1018.5,79.155,0.0775
2395,Ponga winery New Zealand,292.8725,1014.5074999999999,79.2175,0.1125
2396,Roessler winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2397,Hourglass winery US,281.03249999999997,1018.5,79.155,0.0775
2398,Jean-Claude Boisset winery France,276.885,1020.4425,71.7725,0.19
2399,Henri Schoenheitz winery France,275.945,1014.6075,86.3125,0.1975
2400,Château Barbanau winery France,281.72,1019.9425,78.96,0.03
2401,Château Margüi winery France,281.9275,1019.2825,79.215,0.052500000000000005
2402,Château Saint-Pierre winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
2403,Keating winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2404,Kicker Cane winery US,280.2075,1019.7475,75.9525,0.245
2405,Vin Vault winery US,279.46000000000004,1019.4825000000001,73.85,0.235
2406,Zoetic Wines winery US,269.63750000000005,1018.1500000000001,79.24000000000001,0.0725
2407,Pierre Sparr winery France,275.945,1014.6075,86.3125,0.1975
2408,Summerland winery US,285.08,1018.895,58.4075,0.01
2409,Domaine Guillot-Broux winery France,277.3075,1019.2425,81.31,0.0925
2410,Fabrizio Dionisio winery Italy,278.1275,1015.0025,83.47749999999999,0.12250000000000001
2411,Finca Decero winery Argentina,296.04,971.94,46.01,0.0125
2412,Galil Mountain winery Israel,286.885,1017.4749999999999,71.685,0.16499999999999998
2413,Cabot Vineyards winery US,272.40999999999997,1017.0550000000001,77.96249999999999,0.1125
2414,Maurice Ecard winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2415,Jules Taylor winery New Zealand,290.48,1011.495,78.5125,0.145
2416,Barkan winery Israel,286.4575,1015.725,73.5025,0.095
2417,Zuccardi winery Argentina,296.04,971.94,46.01,0.0125
2418,Chateau Walla Walla winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2419,Sauska winery Hungary,272.845,1018.4825000000001,86.12,0.0125
2420,Sweet Valley winery US,272.69,1017.8225,73.1,0.11500000000000002
2421,Mayo winery US,281.03249999999997,1018.5,79.155,0.0775
2422,Buttonwood Farm winery US,285.08,1018.895,58.4075,0.01
2423,M. Trinchero winery US,281.03249999999997,1018.5,79.155,0.0775
2424,Paul Cheneau winery Spain,271.33000000000004,1016.3325,80.11999999999999,0.1175
2425,I Giusti e Zanza winery Italy,280.01,1018.8175,86.6625,0.125
2426,Laelaps winery US,276.21999999999997,1020.7575,76.705,0.14
2427,Thanisch winery Germany,275.71,1014.9425,92.215,0.135
2428,Toni Jost winery Germany,276.60249999999996,1016.5925,85.77,0.11750000000000001
2429,Ground Boots winery US,279.46000000000004,1019.4825000000001,73.85,0.235
2430,Envy winery US,281.03249999999997,1018.5,79.155,0.0775
2431,Galante winery US,282.145,1019.67,71.3375,0.0475
2432,Mesh winery Australia,276.885,1020.4425,71.7725,0.19
2433,Inman Family winery US,281.03249999999997,1018.5,79.155,0.0775
2434,Longplay winery US,276.21999999999997,1020.7575,76.705,0.14
2435,Bodega Rancho winery US,284.355,1018.7850000000001,64.2,0.0275
2436,Veedercrest winery US,281.03249999999997,1018.5,79.155,0.0775
2437,Viento winery US,276.0775,1020.8975,74.8725,0.135
2438,Zotovich Cellars winery US,285.08,1018.895,58.4075,0.01
2439,Bouchard Finlayson winery South Africa,293.11,1003.365,66.9275,0.255
2440,Churchill Cellars winery US,269.97749999999996,1014.5025,81.55,0.065
2441,Vavasour winery New Zealand,290.48,1011.495,78.5125,0.145
2442,Almquist winery US,276.4775,1019.8925,81.3675,0.16999999999999998
2443,Château de Nages winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
2444,Harbes Family Vineyard winery US,272.74749999999995,1016.8375,70.14250000000001,0.14
2445,Kohl winery Austria,274.24749999999995,1016.4425,79.965,0.295
2446,Kellerei Kaltern Caldaro winery Italy,271.93,990.155,75.185,0.1275
2447,Domaine Zinck winery France,275.945,1014.6075,86.3125,0.1975
2448,Rombauer winery US,280.0375,1020.4000000000001,73.5425,0.07
2449,Domaine Sylvain Pataille winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2450,Venge winery US,281.03249999999997,1018.5,79.155,0.0775
2451,Vidon Vineyard winery US,276.21999999999997,1020.7575,76.705,0.14
2452,Stonegate winery US,271.47999999999996,1017.2825,77.0975,0.15000000000000002
2453,Tapiz winery Argentina,296.04,971.94,46.01,0.0125
2454,Domaine Thierry Mortet winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2455,Garnet winery US,274.765,1020.09,75.65,0.1575
2456,Tango Reàl winery Argentina,297.0175,1011.51,65.33500000000001,0.0225
2457,Brecon Estate winery US,282.145,1019.67,71.3375,0.0475
2458,Weingut Weber winery Germany,275.945,1014.6075,86.3125,0.1975
2459,Zacharias winery Greece,282.015,1017.8100000000001,73.4425,0.10750000000000001
2460,Enjoie winery US,269.9725,1015.9375,78.4025,0.10500000000000001
2461,Goats do Roam Wine Co. winery South Africa,293.11,1003.365,66.9275,0.255
2462,Gracia de Chile winery Chile,292.86749999999995,996.51,48.405,0.0
2463,Abbazia di Novacella winery Italy,276.885,1020.4425,71.7725,0.19
2464,Tangent winery US,280.2,1020.225,66.68,0.0125
2465,Weingut Georg Albrecht Schneider winery Germany,276.745,1016.5625,85.615,0.12000000000000001
2466,Kilikanoon winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
2467,Terre de Vignerons winery France,280.26,1023.8899999999999,86.18249999999999,0.17
2468,Calvet winery France,282.0174999999999,1014.2975,63.565,0.0075
2469,Dona Maria-Júlio Bastos winery Portugal,280.74,1016.465,82.07,0.07750000000000001
2470,Bacalhôa Wines of Portugal winery Portugal,283.91499999999996,1026.355,88.3725,0.08499999999999999
2471,Château Marot winery France,280.26,1023.8899999999999,86.18249999999999,0.17
2472,Junta winery Chile,280.2075,1019.7475,75.9525,0.245
2473,Salvestrin winery US,281.03249999999997,1018.5,79.155,0.0775
2474,Marichal winery Uruguay,295.5125,1012.135,70.12,0.0325
2475,Elsom Cellars winery US,276.4775,1019.8925,81.3675,0.16999999999999998
2476,Chacewater winery US,281.03249999999997,1018.5,79.155,0.0775
2477,Château de Berne winery France,281.9275,1019.2825,79.215,0.052500000000000005
2478,Château d'Ollières winery France,280.17249999999996,1016.2225,76.175,0.027500000000000004
2479,Château Minuty winery France,281.9275,1019.2825,79.215,0.052500000000000005
2480,Château Roubine winery France,281.9275,1019.2825,79.215,0.052500000000000005
2481,Commanderie de la Bargemone winery France,280.17249999999996,1016.2225,76.175,0.027500000000000004
2482,Expression 39 winery US,276.885,1020.4425,71.7725,0.19
2483,Château Saint-Maur winery France,281.9275,1019.2825,79.215,0.052500000000000005
2484,Chêne winery US,266.745,1014.5875,80.385,0.0925
2485,Feudo Arancio winery Italy,285.8925,1021.18,72.9875,0.0375
2486,Flam winery Israel,285.6925,1013.675,74.91499999999999,0.11
2487,Ara winery New Zealand,290.48,1011.495,78.5125,0.145
2488,Basel Cellars winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2489,Bazelet HaGolan winery Israel,285.22,1008.41,70.33250000000001,0.1225
2490,Belhurst winery US,271.15500000000003,1015.9375,78.5625,0.095
2491,Viticultori Associati Canicatti winery Italy,285.8925,1021.18,72.9875,0.0375
2492,Dashe Cellars winery US,282.1325,1020.51,72.32749999999999,0.1125
2493,Lujon winery US,276.21999999999997,1020.7575,76.705,0.14
2494,Bodega NQN winery Argentina,295.84000000000003,1005.2975,39.385,0.0125
2495,Deep Sea winery US,285.08,1018.895,58.4075,0.01
2496,Des Voigne Cellars winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
2497,Bougrier winery France,279.05,1020.2575,89.96000000000001,0.09750000000000002
2498,Les Frères Couillaud winery France,280.36,1020.8149999999999,89.03,0.09000000000000001
2499,Albert Besombes winery France,279.34999999999997,1020.3074999999999,88.86500000000001,0.09
2500,Nigl winery Austria,274.24749999999995,1016.4425,79.965,0.295
2501,Painted Rock winery Canada,268.86750000000006,1008.4449999999999,83.86,0.030000000000000002
2502,Hess Collection winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2503,Mantlerhof winery Austria,274.24749999999995,1016.4425,79.965,0.295
2504,Tenuta dell'Ornellaia winery Italy,276.885,1020.4425,71.7725,0.19
2505,Brogan winery US,281.03249999999997,1018.5,79.155,0.0775
2506,Cola winery Italy,276.8175,1010.5775000000001,80.47,0.16999999999999998
2507,Dr. Pauly Bergweiler winery Germany,275.71,1014.9425,92.215,0.135
2508,Castillo's Hillside Shire winery US,281.61,1019.87,73.3725,0.0825
2509,Château de Pizay winery France,277.3075,1019.2425,81.31,0.0925
2510,Château La Greffière winery France,277.3075,1019.2425,81.31,0.0925
2511,Domaine de Cabriac winery France,282.0174999999999,1014.2975,63.565,0.0075
2512,J.R. Dill winery US,269.9725,1015.9375,78.4025,0.10500000000000001
2513,Selene winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2514,Domaine Marcel Deiss winery France,275.945,1014.6075,86.3125,0.1975
2515,Spring Mountain Vineyard winery US,281.03249999999997,1018.5,79.155,0.0775
2516,Rotari winery Italy,271.93,990.155,75.185,0.1275
2517,Alpha Omega winery US,281.03249999999997,1018.5,79.155,0.0775
2518,Skoff winery Austria,272.28499999999997,1017.4375,86.8775,0.027500000000000004
2519,Black Hills winery Canada,268.86750000000006,1008.4449999999999,83.86,0.030000000000000002
2520,Canvasback winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2521,Korbel winery US,281.03249999999997,1018.5,79.155,0.0775
2522,Cave de Hunawihr winery France,275.945,1014.6075,86.3125,0.1975
2523,Cave du Roi Dagobert winery France,276.5775,1018.5775,88.6875,0.195
2524,Domaine Eden winery US,281.63,1019.21,73.97,0.0875
2525,Dopff Au Moulin winery France,275.945,1014.6075,86.3125,0.1975
2526,Esterlin winery France,278.11,1018.305,89.99,0.08
2527,Lavinea winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2528,Lombard et Cie winery France,278.11,1018.305,89.99,0.08
2529,Windrun winery US,282.21250000000003,1019.7574999999999,73.99,0.21250000000000002
2530,Naia winery Spain,277.01,990.7149999999999,83.1275,0.0825
2531,Sedosa winery Spain,280.2075,1019.7475,75.9525,0.245
2532,Carr winery US,285.08,1018.895,58.4075,0.01
2533,Gresser winery US,276.21999999999997,1020.7575,76.705,0.14
2534,Bryn Mawr Vineyards winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2535,Delgado winery US,277.06500000000005,1021.0224999999999,75.6925,0.145
2536,Dois Irmãos winery US,269.97749999999996,1017.4950000000001,78.61250000000001,0.0675
2537,Florian Roblin winery France,278.405,1019.5975,90.47500000000001,0.0625
2538,Heart Catcher winery US,277.855,1019.3675000000001,72.9025,0.355
2539,Windsor Oaks winery US,281.03249999999997,1018.5,79.155,0.0775
2540,J. Rickards winery US,281.03249999999997,1018.5,79.155,0.0775
2541,Joseph Soggé winery US,281.03249999999997,1018.5,79.155,0.0775
2542,Trig Point winery US,279.46000000000004,1019.4825000000001,73.85,0.235
2543,R. Stuart & Co. winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2544,L'Oliveto winery US,280.515,1019.8025,75.23249999999999,0.2625
2545,Palmer & Co winery France,278.11,1018.305,89.99,0.08
2546,Alchemist winery US,280.2075,1019.7475,75.9525,0.245
2547,Backsberg winery South Africa,293.11,1003.365,66.9275,0.255
2548,Saxenburg Estate winery South Africa,294.2625,1013.0525,70.8775,0.265
2549,Michel Lynch winery France,280.26,1023.8899999999999,86.18249999999999,0.17
2550,Tom Gore winery US,271.4875,1020.385,74.545,0.07
2551,Yves Leccia winery France,280.01,1018.8175,86.6625,0.125
2552,786 Wines winery US,276.885,1020.4425,71.7725,0.19
2553,Black Cottage winery New Zealand,269.73749999999995,1015.325,69.2625,0.0975
2554,Borrellie winery US,270.2375,1017.4075,78.4225,0.0775
2555,Castoro Cellars winery US,282.145,1019.67,71.3375,0.0475
2556,Etienne Boileau winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2557,Cantina Produttori San Michele Appiano winery Italy,271.93,990.155,75.185,0.1275
2558,Domaine Guy & Yan Dufouleur winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2559,K Cellars winery Bulgaria,273.6875,1018.9525,77.76750000000001,0.01
2560,Thomas Schmitt winery Germany,275.71,1014.9425,92.215,0.135
2561,Otero Ramos winery Argentina,296.04,971.94,46.01,0.0125
2562,Bodegas Escorihuela winery Argentina,296.04,971.94,46.01,0.0125
2563,Château Julien winery US,269.44,1018.5799999999999,78.08000000000001,0.1275
2564,Domaine Chanson winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2565,Domaine Rossignol-Trapet winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2566,Nicolas Gaudry winery France,278.405,1019.5975,90.47500000000001,0.0625
2567,Scroll winery US,276.885,1020.4425,71.7725,0.19
2568,Stefania Mezzetti winery Italy,278.1275,1015.0025,83.47749999999999,0.12250000000000001
2569,French Creek winery US,277.1825,1020.1425,77.925,0.1875
2570,Giannoni Fabbri winery Italy,278.1275,1015.0025,83.47749999999999,0.12250000000000001
2571,Sparkling Pointe winery US,272.74749999999995,1016.8375,70.14250000000001,0.14
2572,Alexandria Nicole winery US,269.095,1001.7425,80.53,0.065
2573,Domaine de Jarras winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
2574,Harmonique winery US,281.03249999999997,1018.5,79.155,0.0775
2575,Helwig winery US,280.0375,1020.4000000000001,73.5425,0.07
2576,Jacob Williams winery US,276.0775,1020.8975,74.8725,0.135
2577,Kramer winery US,276.21999999999997,1020.7575,76.705,0.14
2578,Domaine de Bellecours winery France,277.295,1019.12,81.27250000000001,0.095
2579,Apsara winery US,277.025,1021.5074999999999,76.4475,0.11
2580,Bodegas Paniza winery Spain,278.59,1019.935,80.1375,0.0375
2581,Château la Freynelle winery France,280.26,1023.8899999999999,86.18249999999999,0.17
2582,Dachshund winery Germany,275.71,1014.9425,92.215,0.135
2583,Mollie winery US,276.885,1020.4425,71.7725,0.19
2584,Heribert Bayer winery Austria,274.24749999999995,1016.4425,79.965,0.295
2585,Hillinger winery Austria,273.9,1018.9325,85.6,0.030000000000000002
2586,Weszeli winery Austria,274.24749999999995,1016.4425,79.965,0.295
2587,Franz Hirtzberger winery Austria,274.24749999999995,1016.4425,79.965,0.295
2588,Skinnygirl winery US,276.885,1020.4425,71.7725,0.19
2589,Seven Daughters winery US,276.885,1020.4425,71.7725,0.19
2590,Raimat winery Spain,279.01000000000005,1013.3199999999999,81.4925,0.0125
2591,Andeluna winery Argentina,296.04,971.94,46.01,0.0125
2592,Barons V winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2593,Dobbes Family Estate winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2594,Fortress winery US,278.65999999999997,1019.55,77.17750000000001,0.16999999999999998
2595,Gorman winery US,276.45750000000004,1019.7875000000001,82.41,0.1625
2596,Lawer winery US,281.03249999999997,1018.5,79.155,0.0775
2597,Phillips Hill winery US,281.03249999999997,1018.5,79.155,0.0775
2598,Carden winery US,280.515,1019.8025,75.23249999999999,0.2625
2599,Chêne Bleu winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
2600,Cutruzzola winery US,282.145,1019.67,71.3375,0.0475
2601,Foursight winery US,281.03249999999997,1018.5,79.155,0.0775
2602,Goat Bubbles winery US,276.885,1020.4425,71.7725,0.19
2603,Ballard Lane winery US,276.885,1020.4425,71.7725,0.19
2604,BonAnno winery US,278.65999999999997,1019.55,77.17750000000001,0.16999999999999998
2605,db Winery winery US,278.65999999999997,1019.55,77.17750000000001,0.16999999999999998
2606,Domaine A. Machard de Gramont winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2607,Domaine Champy winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2608,Domaine Charly Nicolle winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2609,Dog Point winery New Zealand,290.48,1011.495,78.5125,0.145
2610,Mission Estate winery New Zealand,291.85249999999996,1012.8599999999999,83.14500000000001,0.1575
2611,Domaine Thomas & Fils winery France,278.405,1019.5975,90.47500000000001,0.0625
2612,Bennett Lane winery US,281.03249999999997,1018.5,79.155,0.0775
2613,Bjornstad winery US,270.2375,1017.4075,78.4225,0.0775
2614,Cullen winery Australia,297.0025,1011.905,49.605000000000004,0.022500000000000003
2615,Ermisch winery US,276.885,1020.4425,71.7725,0.19
2616,Fig winery US,276.885,1020.4425,71.7725,0.19
2617,Madorom winery US,280.7575,1020.3425,73.895,0.10250000000000001
2618,Domaine des Rochelles winery France,279.34999999999997,1020.3074999999999,88.86500000000001,0.09
2619,Municipal Winemakers winery US,285.08,1018.895,58.4075,0.01
2620,DeWaal winery South Africa,294.2625,1013.0525,70.8775,0.265
2621,JCR winery US,285.08,1018.895,58.4075,0.01
2622,N. Kendall Wines winery US,281.03249999999997,1018.5,79.155,0.0775
2623,Prodigal winery US,276.885,1020.4425,71.7725,0.19
2624,Clunia winery Spain,277.0025,984.925,83.4625,0.1
2625,Domaine Rossignol-Février Père et Fils winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2626,Vinum Cellars winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2627,O. Fournier winery Argentina,296.04,971.94,46.01,0.0125
2628,Hacienda La Lomita winery Mexico,282.1675,993.52,61.7325,0.03
2629,CK Mondavi winery US,281.03249999999997,1018.5,79.155,0.0775
2630,Fabre Montmayou winery Argentina,296.04,971.94,46.01,0.0125
2631,Spellbound winery US,269.63750000000005,1018.1500000000001,79.24000000000001,0.0725
2632,A Blooming Hill Vineyard winery US,276.21999999999997,1020.7575,76.705,0.14
2633,Emerson winery US,276.12249999999995,1019.4575,78.35749999999999,0.105
2634,Schwarz Wine Company winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
2635,Lionel Osmin & Cie winery France,278.94500000000005,1012.1175000000001,80.2525,0.052500000000000005
2636,Furthermore winery US,281.03249999999997,1018.5,79.155,0.0775
2637,Philippe Fontaine winery France,276.745,1020.5049999999999,88.98249999999999,0.1075
2638,Six Sigma Ranch winery US,281.03249999999997,1018.5,79.155,0.0775
2639,Ten Acre winery US,276.885,1020.4425,71.7725,0.19
2640,Château Lagrézette winery France,278.945,1021.86,84.17,0.0625
2641,Vignerons de Buzet winery France,280.26,1023.8899999999999,86.18249999999999,0.17
2642,Prieuré de Montézargues winery France,280.28499999999997,1020.3425000000001,73.03,0.0275
2643,Rippey winery US,266.66249999999997,1019.8225,74.75750000000001,0.005
2644,Nittnaus Hans und Christine winery Austria,273.9,1018.9325,85.6,0.030000000000000002
2645,Oso Libre winery US,282.145,1019.67,71.3375,0.0475
2646,Sepp Moser winery Austria,274.24749999999995,1016.4425,79.965,0.295
2647,Baron Knyphausen winery Germany,276.745,1016.5625,85.615,0.12000000000000001
2648,Brandl winery Austria,274.24749999999995,1016.4425,79.965,0.295
2649,Thistle winery US,277.855,1019.3675000000001,72.9025,0.355
2650,Kendric winery US,282.0375,1019.6025,73.3925,0.1125
2651,Patit Creek Cellars winery US,269.33000000000004,1020.9850000000001,79.41250000000001,0.035
2652,Robert Pepi winery US,277.375,1020.0125,79.19749999999999,0.23500000000000001
2653,Peacock Cellars winery US,280.2,1020.225,66.68,0.0125
2654,Relic winery US,280.7575,1020.3425,73.895,0.10250000000000001
2655,Skouras winery Greece,282.015,1017.8100000000001,73.4425,0.10750000000000001
2656,Martinborough Vineyard winery New Zealand,290.4125,1011.1350000000001,77.995,0.1225
2657,Toretti's winery US,285.08,1018.895,58.4075,0.01
2658,Tselepos winery Greece,281.135,1015.2175,79.82499999999999,0.0875
2659,Joel Gott winery US,276.885,1020.4425,71.7725,0.19
2660,Raeburn winery US,276.885,1020.4425,71.7725,0.19
2661,Reign winery US,272.25250000000005,1020.925,75.6575,0.08000000000000002
2662,Smith & Hook winery US,282.145,1019.67,71.3375,0.0475
2663,Boschendal winery South Africa,293.11,1003.365,66.9275,0.255
2664,Witching Stick winery US,281.03249999999997,1018.5,79.155,0.0775
2665,Blacksmith winery US,282.1325,1020.51,72.32749999999999,0.1125
2666,C.G. di Arie winery US,280.0375,1020.4000000000001,73.5425,0.07
2667,Casa de la Cruz winery US,281.7425,1019.1525000000001,70.48750000000001,0.125
2668,CC winery US,281.03249999999997,1018.5,79.155,0.0775
2669,Zonte's Footstep winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
2670,MooBuzz winery US,278.65999999999997,1019.55,77.17750000000001,0.16999999999999998
2671,Red Knot winery Australia,295.3925,1012.0350000000001,53.527499999999996,0.022500000000000003
2672,Espiritu de Chile winery Chile,276.885,1020.4425,71.7725,0.19
2673,Vazart Coquart & Fils winery France,278.11,1018.305,89.99,0.08
