,country,points,variety,winery,winery_search
21990,US,90,Pinot Noir,Inman Family,Inman Family winery US
21991,France,90,Chardonnay,Lancelot-Pienne,Lancelot-Pienne winery France
21998,US,90,Chardonnay,Chardonnais,Chardonnais winery US
22002,France,90,Pinot Noir,Domaine François Schmitt,Domaine François Schmitt winery France
22009,Australia,90,Pinot Noir,Glaetzer-Dixon,Glaetzer-Dixon winery Australia
22010,France,90,Chardonnay,J. M. Gobillard et Fils,J. M. Gobillard et Fils winery France
22012,France,90,Chardonnay,Benoît Cocteaux,Benoît Cocteaux winery France
22018,Chile,86,Sauvignon Blanc,Calcu,Calcu winery Chile
22019,US,86,Rosé,Catman,Catman winery US
22025,US,86,Syrah,South Stage,South Stage winery US
22026,Chile,86,Cabernet Sauvignon,Tres Palacios,Tres Palacios winery Chile
22028,Portugal,86,Sauvignon Blanc,Wines & Winemakers,Wines & Winemakers winery Portugal
22031,US,86,Chardonnay,Muddy Boot,Muddy Boot winery US
22034,France,86,Sauvignon Blanc,Dourthe,Dourthe winery France
22036,Chile,86,Sauvignon Blanc,François Lurton,François Lurton winery Chile
22037,US,86,Cabernet Sauvignon,Frei Brothers,Frei Brothers winery US
22040,US,86,Cabernet Sauvignon,Benessere,Benessere winery US
22041,Portugal,86,Rosé,Casa Agricola Alexandre Relvas,Casa Agricola Alexandre Relvas winery Portugal
22047,Argentina,85,Pinot Noir,Alfredo Roca,Alfredo Roca winery Argentina
22051,France,85,Chardonnay,Verget,Verget winery France
22053,France,85,Chardonnay,Vins Auvigue,Vins Auvigue winery France
22055,US,85,Merlot,Veramar,Veramar winery US
22058,France,85,Chardonnay,Domaine de la Denante,Domaine de la Denante winery France
22059,France,85,Chardonnay,Domaine Olivier Merlin,Domaine Olivier Merlin winery France
22064,Portugal,84,Rosé,Casa Santos Lima,Casa Santos Lima winery Portugal
22065,France,84,Cabernet Sauvignon,Les Alliés,Les Alliés winery France
22068,France,84,Chardonnay,Georges Duboeuf,Georges Duboeuf winery France
22069,France,84,Pinot Noir,Tussock Jumper,Tussock Jumper winery France
22070,France,84,Chardonnay,Pascal Rollet,Pascal Rollet winery France
22071,Argentina,84,Cabernet Sauvignon,Proemio,Proemio winery Argentina
22072,Portugal,84,Rosé,Quinta da Lapa,Quinta da Lapa winery Portugal
22073,US,84,Chardonnay,The Williamsburg Winery,The Williamsburg Winery winery US
22076,US,88,Chardonnay,Robert Mondavi,Robert Mondavi winery US
22077,France,88,Syrah,Maison Nicolas Perrin,Maison Nicolas Perrin winery France
22078,South Africa,88,Sauvignon Blanc,Nederburg,Nederburg winery South Africa
22079,US,88,Cabernet Sauvignon,Keating,Keating winery US
22080,US,88,Cabernet Sauvignon,Kicker Cane,Kicker Cane winery US
22082,US,88,Cabernet Sauvignon,Whitehall Lane,Whitehall Lane winery US
22088,US,88,Chardonnay,Acacia,Acacia winery US
22089,US,88,Riesling,Bellwether,Bellwether winery US
22091,US,88,Cabernet Sauvignon,Buehler,Buehler winery US
22094,US,88,Merlot,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
22095,US,88,Chardonnay,Chateau Ste. Michelle,Chateau Ste. Michelle winery US
22098,US,88,Cabernet Sauvignon,Ded.Reckoning,Ded.Reckoning winery US
22105,France,91,Sauvignon Blanc,Pascal Jolivet,Pascal Jolivet winery France
22110,US,91,Cabernet Sauvignon,J. Bookwalter,J. Bookwalter winery US
22111,US,91,Chardonnay,Williams Selyem,Williams Selyem winery US
22113,France,91,Sauvignon Blanc,Domaine Fouassier,Domaine Fouassier winery France
22114,France,91,Chardonnay,Duval-Leroy,Duval-Leroy winery France
22118,US,91,Pinot Noir,Francis Coppola,Francis Coppola winery US
22121,US,91,Chardonnay,Nickel & Nickel,Nickel & Nickel winery US
22122,US,91,Riesling,Pacific Rim,Pacific Rim winery US
22124,France,91,Sauvignon Blanc,Pascal Jolivet,Pascal Jolivet winery France
22129,Israel,91,Cabernet Sauvignon,Bazelet HaGolan,Bazelet HaGolan winery Israel
22130,US,91,Merlot,Boudreaux Cellars,Boudreaux Cellars winery US
22133,US,91,Pinot Noir,Twomey,Twomey winery US
22134,US,91,Rosé,Rose & Thistle,Rose & Thistle winery US
22138,US,91,Merlot,Tenor,Tenor winery US
22139,US,91,Chardonnay,Tondré,Tondré winery US
22140,US,91,Cabernet Sauvignon,Woodward Canyon,Woodward Canyon winery US
22144,Chile,91,Syrah,Concha y Toro,Concha y Toro winery Chile
22146,US,91,Syrah,Dehlinger,Dehlinger winery US
22147,France,91,Riesling,Domaine Roland Schmitt,Domaine Roland Schmitt winery France
22148,France,91,Riesling,Domaines Schlumberger,Domaines Schlumberger winery France
22149,US,91,Syrah,Doyenne,Doyenne winery US
22150,US,91,Pinot Noir,Dutton-Goldfield,Dutton-Goldfield winery US
22151,US,91,Riesling,Dutton-Goldfield,Dutton-Goldfield winery US
22153,US,91,Chardonnay,Bogle,Bogle winery US
22158,US,91,Pinot Noir,Alma Rosa,Alma Rosa winery US
22160,US,91,Cabernet Sauvignon,Corvus,Corvus winery US
22161,US,91,Syrah,Dehlinger,Dehlinger winery US
22165,Italy,87,Cabernet Sauvignon,Falchini,Falchini winery Italy
22167,US,87,Pinot Noir,Argyle,Argyle winery US
22170,US,87,Syrah,La Capilla,La Capilla winery US
22176,US,87,Pinot Noir,Spindrift Cellars,Spindrift Cellars winery US
22186,Italy,87,Cabernet Sauvignon,Falchini,Falchini winery Italy
22188,US,87,Pinot Noir,Greenwood Ridge,Greenwood Ridge winery US
22190,US,86,Chardonnay,American Roots,American Roots winery US
22192,US,86,Pinot Noir,Boedecker Cellars,Boedecker Cellars winery US
22193,US,86,Pinot Noir,Capitello,Capitello winery US
22194,US,86,Pinot Noir,WillaKenzie Estate,WillaKenzie Estate winery US
22196,US,85,Pinot Noir,Domaine Meriwether,Domaine Meriwether winery US
22198,South Africa,85,Cabernet Sauvignon,Excelsior,Excelsior winery South Africa
22199,US,85,Sauvignon Blanc,Fenestra,Fenestra winery US
22203,France,85,Chardonnay,Château du Coing de Saint-Fiacre,Château du Coing de Saint-Fiacre winery France
22205,France,85,Pinot Noir,Xavier Flouret,Xavier Flouret winery France
22213,US,85,Sauvignon Blanc,Sauvignon Republic,Sauvignon Republic winery US
22214,Austria,85,Riesling,Setzer,Setzer winery Austria
22218,US,85,Rosé,Quivira,Quivira winery US
22220,US,84,Pinot Noir,Bogle,Bogle winery US
22222,Chile,84,Cabernet Sauvignon,La Playa,La Playa winery Chile
22223,US,84,Cabernet Sauvignon,Ty Caton,Ty Caton winery US
22224,Chile,84,Merlot,Viña La Fortuna,Viña La Fortuna winery Chile
22226,US,84,Pinot Noir,Buena Vista,Buena Vista winery US
22228,US,84,Syrah,Verge,Verge winery US
22230,US,84,Chardonnay,Liberty School,Liberty School winery US
22232,Chile,84,Riesling,Miguel Torres,Miguel Torres winery Chile
22233,US,84,Chardonnay,Adastra,Adastra winery US
22234,US,84,Pinot Noir,Buena Vista,Buena Vista winery US
22237,US,84,Merlot,Emmolo,Emmolo winery US
22239,Chile,84,Pinot Noir,Pacifico Sur,Pacifico Sur winery Chile
22240,US,88,Chardonnay,Lakewood,Lakewood winery US
22241,US,88,Riesling,Lakewood,Lakewood winery US
22243,France,88,Rosé,Les Vins Bréban,Les Vins Bréban winery France
22245,US,88,Pinot Noir,Lundeen,Lundeen winery US
22246,Argentina,88,Chardonnay,Mascota,Mascota winery Argentina
22247,US,88,Rosé,Meiomi,Meiomi winery US
22251,France,88,Rosé,Provence Wine Maker,Provence Wine Maker winery France
22253,France,88,Rosé,Château Barbeiranne,Château Barbeiranne winery France
22254,France,88,Rosé,Château Coussin,Château Coussin winery France
22255,France,88,Rosé,Château de Pourcieux,Château de Pourcieux winery France
22256,France,88,Rosé,Château d'Esclans,Château d'Esclans winery France
22257,France,88,Rosé,Château d'Ollières,Château d'Ollières winery France
22258,France,88,Rosé,Château Gassier,Château Gassier winery France
22259,France,88,Rosé,Chateau Peyrassol,Chateau Peyrassol winery France
22261,France,88,Rosé,Château Roubine,Château Roubine winery France
22262,US,88,Chardonnay,Clif Family,Clif Family winery US
22267,US,88,Rosé,Demetria,Demetria winery US
22271,US,92,Pinot Noir,Asuncion Ridge,Asuncion Ridge winery US
22272,France,92,Riesling,Boeckel,Boeckel winery France
22274,US,92,Chardonnay,Cholame,Cholame winery US
22276,US,92,Sauvignon Blanc,Galerie,Galerie winery US
22277,US,92,Pinot Noir,Goldeneye,Goldeneye winery US
22281,US,92,Pinot Noir,Patz & Hall,Patz & Hall winery US
22282,US,92,Pinot Noir,Pellegrini,Pellegrini winery US
22284,US,92,Merlot,San Simeon,San Simeon winery US
22287,US,92,Pinot Noir,Talbott,Talbott winery US
22288,US,92,Pinot Noir,Tolosa,Tolosa winery US
22289,US,92,Chardonnay,Trefethen,Trefethen winery US
22291,US,92,Pinot Noir,Adelaida,Adelaida winery US
22292,US,92,Cabernet Sauvignon,Anthony Nappa,Anthony Nappa winery US
22293,US,92,Sauvignon Blanc,Brander,Brander winery US
22296,US,92,Chardonnay,Dolin,Dolin winery US
22297,France,92,Riesling,Domaine Barmès-Buecher,Domaine Barmès-Buecher winery France
22298,US,92,Syrah,Avennia,Avennia winery US
22305,France,90,Pinot Noir,Dopff & Irion,Dopff & Irion winery France
22306,Germany,90,Riesling,Dr. Heidemanns-Bergweiler,Dr. Heidemanns-Bergweiler winery Germany
22315,US,90,Pinot Noir,Winter's Hill,Winter's Hill winery US
22319,US,90,Pinot Noir,Amalie Robert,Amalie Robert winery US
22320,US,90,Chardonnay,Amalie Robert,Amalie Robert winery US
22323,France,90,Chardonnay,Boizel,Boizel winery France
22325,US,90,Cabernet Sauvignon,Brutocao,Brutocao winery US
22326,US,90,Pinot Noir,Bucher,Bucher winery US
22329,US,90,Cabernet Sauvignon,Monticello Vineyards,Monticello Vineyards winery US
22330,France,90,Chardonnay,Pierre André,Pierre André winery France
22331,US,90,Cabernet Sauvignon,Rutherford Ranch,Rutherford Ranch winery US
22332,US,90,Chardonnay,Silverado,Silverado winery US
22333,France,90,Chardonnay,Château de la Crée,Château de la Crée winery France
22341,US,90,Pinot Noir,Bernardus,Bernardus winery US
22344,US,90,Cabernet Sauvignon,W.H. Smith,W.H. Smith winery US
22345,US,90,Pinot Noir,ZD,ZD winery US
22346,US,90,Pinot Noir,Heart O' The Mountain,Heart O' The Mountain winery US
22347,US,90,Sauvignon Blanc,Husch,Husch winery US
22349,France,90,Sauvignon Blanc,Michel Vattan,Michel Vattan winery France
22350,US,90,Cabernet Sauvignon,Monticello Vineyards,Monticello Vineyards winery US
22353,France,90,Chardonnay,Roux Père et Fils,Roux Père et Fils winery France
22357,France,94,Riesling,Dopff & Irion,Dopff & Irion winery France
22358,US,94,Pinot Noir,Fess Parker,Fess Parker winery US
22359,US,94,Cabernet Sauvignon,Flora Springs,Flora Springs winery US
22360,France,94,Riesling,Jean-Baptiste Adam,Jean-Baptiste Adam winery France
22361,France,94,Riesling,Jean Biecher & Fils,Jean Biecher & Fils winery France
22362,France,94,Chardonnay,Joseph Perrier,Joseph Perrier winery France
22363,France,94,Riesling,Kuentz-Bas,Kuentz-Bas winery France
22365,US,94,Chardonnay,Lange,Lange winery US
22367,France,94,Chardonnay,Lombard et Cie,Lombard et Cie winery France
22368,US,94,Pinot Noir,Lucienne,Lucienne winery US
22370,US,94,Cabernet Sauvignon,Far Niente,Far Niente winery US
22373,France,94,Riesling,André Kientzler,André Kientzler winery France
22374,France,94,Riesling,André Kientzler,André Kientzler winery France
22375,US,94,Chardonnay,Bethel Heights,Bethel Heights winery US
22376,US,94,Pinot Noir,Bethel Heights,Bethel Heights winery US
22377,US,94,Pinot Noir,Comartin,Comartin winery US
22378,US,94,Pinot Noir,Della,Della winery US
22379,US,94,Pinot Noir,Della,Della winery US
22381,France,94,Riesling,Domaine Fernand Engel,Domaine Fernand Engel winery France
22382,France,94,Riesling,Domaine Saint-Rémy,Domaine Saint-Rémy winery France
22383,France,94,Riesling,Domaine Zinck,Domaine Zinck winery France
22385,US,88,Pinot Noir,Niner,Niner winery US
22386,US,88,Cabernet Sauvignon,Olabisi,Olabisi winery US
22390,US,87,Chardonnay,Raymond,Raymond winery US
22392,US,87,Chardonnay,Rochioli,Rochioli winery US
22393,US,87,Cabernet Sauvignon,Silenus,Silenus winery US
22401,US,87,Syrah,Barnard Griffin,Barnard Griffin winery US
22402,France,87,Rosé,Château de Berne,Château de Berne winery France
22405,US,87,Chardonnay,Jamesport,Jamesport winery US
22406,US,87,Syrah,Martha Clara,Martha Clara winery US
22410,US,87,Cabernet Sauvignon,Isabel Mondavi,Isabel Mondavi winery US
22414,US,88,Pinot Noir,Freeman,Freeman winery US
22416,US,88,Merlot,Zerba Cellars,Zerba Cellars winery US
22418,US,88,Chardonnay,Airfield Estates,Airfield Estates winery US
22420,US,88,Riesling,Bogle,Bogle winery US
22425,US,88,Riesling,Milbrandt,Milbrandt winery US
22432,US,88,Pinot Noir,Siduri,Siduri winery US
22433,US,88,Cabernet Sauvignon,Snoqualmie,Snoqualmie winery US
22435,US,89,Cabernet Sauvignon,Owen Roe,Owen Roe winery US
22436,US,89,Syrah,Owen Roe,Owen Roe winery US
22439,New Zealand,89,Pinot Noir,Staete Landt,Staete Landt winery New Zealand
22441,France,89,Pinot Noir,Domaine A. Machard de Gramont,Domaine A. Machard de Gramont winery France
22442,France,89,Chardonnay,Domaine Vrignaud,Domaine Vrignaud winery France
22444,Italy,89,Cabernet Sauvignon,Marchesi Gondi,Marchesi Gondi winery Italy
22445,US,89,Cabernet Sauvignon,Januik,Januik winery US
22446,US,89,Syrah,Jorian Hill,Jorian Hill winery US
22449,France,89,Chardonnay,Louis Jadot,Louis Jadot winery France
22450,US,89,Riesling,Navarro,Navarro winery US
22451,France,89,Chardonnay,Olivier Leflaive,Olivier Leflaive winery France
22452,France,89,Pinot Noir,Olivier Leflaive,Olivier Leflaive winery France
22455,New Zealand,89,Pinot Noir,Spy Valley,Spy Valley winery New Zealand
22458,US,89,Cabernet Sauvignon,Ambassador Vineyard,Ambassador Vineyard winery US
22459,France,89,Chardonnay,Antonin Rodet,Antonin Rodet winery France
22460,Israel,89,Cabernet Sauvignon,Barkan,Barkan winery Israel
22462,Israel,89,Merlot,Carmel,Carmel winery Israel
22463,Chile,86,Merlot,Santa Carolina,Santa Carolina winery Chile
22464,US,86,Riesling,Treleaven,Treleaven winery US
22465,US,86,Pinot Noir,Adelaida,Adelaida winery US
22466,US,86,Chardonnay,Benton-Lane,Benton-Lane winery US
22467,Germany,86,Riesling,Heinz Eifel,Heinz Eifel winery Germany
22475,Chile,86,Chardonnay,Concha y Toro,Concha y Toro winery Chile
22476,Chile,86,Sauvignon Blanc,Concha y Toro,Concha y Toro winery Chile
22477,US,86,Rosé,Frisk,Frisk winery US
22479,France,86,Chardonnay,Henri de Villamont,Henri de Villamont winery France
22481,US,86,Chardonnay,Herzog,Herzog winery US
22482,US,86,Chardonnay,J. Lohr,J. Lohr winery US
22484,Italy,86,Chardonnay,La Montina,La Montina winery Italy
22485,US,86,Pinot Noir,Left Coast Cellars,Left Coast Cellars winery US
22486,US,86,Cabernet Sauvignon,Liparita,Liparita winery US
22487,US,86,Cabernet Sauvignon,Madorom,Madorom winery US
22488,US,86,Sauvignon Blanc,Michael David,Michael David winery US
22490,US,86,Sauvignon Blanc,Balverne,Balverne winery US
22497,US,94,Pinot Noir,Fiddlehead,Fiddlehead winery US
22498,Germany,94,Pinot Noir,Friedrich Becker,Friedrich Becker winery Germany
22499,Germany,94,Riesling,Weingut Ökonomierat Rebholz,Weingut Ökonomierat Rebholz winery Germany
22500,France,94,Pinot Noir,Nicolas Potel,Nicolas Potel winery France
22502,Germany,94,Riesling,Peter Jakob Kühn,Peter Jakob Kühn winery Germany
22503,US,94,Pinot Noir,Red Stitch,Red Stitch winery US
22504,US,94,Pinot Noir,The Eyrie Vineyards,The Eyrie Vineyards winery US
22505,US,94,Chardonnay,Three Sticks,Three Sticks winery US
22506,US,94,Chardonnay,Chanin,Chanin winery US
22507,France,94,Pinot Noir,Chanson Père et Fils,Chanson Père et Fils winery France
22508,US,94,Pinot Noir,Claiborne & Churchill,Claiborne & Churchill winery US
22510,US,94,Pinot Noir,Elizabeth Chambers,Elizabeth Chambers winery US
22511,France,94,Pinot Noir,Albert Bichot,Albert Bichot winery France
22512,US,94,Pinot Noir,Rex Hill,Rex Hill winery US
22513,Germany,94,Riesling,Robert Weil,Robert Weil winery Germany
22514,Germany,94,Pinot Noir,Salwey,Salwey winery Germany
22515,France,94,Pinot Noir,Albert Bichot,Albert Bichot winery France
22517,US,94,Pinot Noir,Bethel Heights,Bethel Heights winery US
22518,US,94,Pinot Noir,Blue Farm,Blue Farm winery US
22519,US,94,Pinot Noir,Chanin,Chanin winery US
22520,France,94,Pinot Noir,Domaine des Croix,Domaine des Croix winery France
22521,France,94,Pinot Noir,Domaine Faiveley,Domaine Faiveley winery France
22522,US,89,Chardonnay,Talley,Talley winery US
22523,US,89,Cabernet Sauvignon,Herzog,Herzog winery US
22524,US,89,Pinot Noir,WillaKenzie Estate,WillaKenzie Estate winery US
22531,Germany,89,Riesling,Dr. Pauly Bergweiler,Dr. Pauly Bergweiler winery Germany
22532,Italy,89,Chardonnay,Lo Sparviere,Lo Sparviere winery Italy
22533,Germany,89,Riesling,Louis Guntrum,Louis Guntrum winery Germany
22535,US,89,Chardonnay,Michael David,Michael David winery US
22537,US,89,Riesling,Roots,Roots winery US
22550,US,89,Riesling,Fox Run,Fox Run winery US
22551,France,89,Riesling,François Baur,François Baur winery France
22552,US,89,Merlot,Merryvale,Merryvale winery US
22553,Chile,89,Pinot Noir,Montes,Montes winery Chile
22555,US,89,Syrah,Novelty Hill,Novelty Hill winery US
22556,US,89,Cabernet Sauvignon,Purple Star,Purple Star winery US
22559,France,89,Riesling,Joseph Fritsch,Joseph Fritsch winery France
22563,US,89,Merlot,Marilyn Merlot,Marilyn Merlot winery US
22564,Chile,89,Chardonnay,Undurraga,Undurraga winery Chile
22565,US,89,Riesling,Waterbrook,Waterbrook winery US
22566,US,89,Chardonnay,Wente,Wente winery US
22567,US,89,Sauvignon Blanc,Whitehall Lane,Whitehall Lane winery US
22568,France,89,Riesling,Wolfberger,Wolfberger winery France
22569,Italy,87,Syrah,MandraRossa,MandraRossa winery Italy
22571,New Zealand,86,Pinot Noir,Spy Valley,Spy Valley winery New Zealand
22574,US,86,Riesling,Inspire Moore,Inspire Moore winery US
22576,France,86,Chardonnay,Louis Jadot,Louis Jadot winery France
22577,US,86,Pinot Noir,Mahoney,Mahoney winery US
22581,US,86,Syrah,North by Northwest,North by Northwest winery US
22585,US,86,Cabernet Sauvignon,Ross Andrew,Ross Andrew winery US
22586,US,86,Pinot Noir,Ancient Oak Cellars,Ancient Oak Cellars winery US
22588,New Zealand,86,Pinot Noir,Ara,Ara winery New Zealand
22589,New Zealand,86,Pinot Noir,Ara,Ara winery New Zealand
22590,US,86,Merlot,Balboa,Balboa winery US
22591,US,86,Riesling,Brooklyn Oenology,Brooklyn Oenology winery US
22597,France,86,Chardonnay,Domaine Vrignaud,Domaine Vrignaud winery France
22599,US,89,Syrah,Quady North,Quady North winery US
22603,Chile,89,Sauvignon Blanc,Siegel,Siegel winery Chile
22604,US,89,Chardonnay,Testarossa,Testarossa winery US
22607,Germany,89,Riesling,Loosen Bros.,Loosen Bros. winery Germany
22608,US,89,Syrah,Mallea,Mallea winery US
22610,France,89,Chardonnay,Baron-Fuenté,Baron-Fuenté winery France
22611,Germany,89,Riesling,Schäfer,Schäfer winery Germany
22619,US,89,Pinot Noir,Anam Cara,Anam Cara winery US
22624,Chile,89,Sauvignon Blanc,Concha y Toro,Concha y Toro winery Chile
22630,US,89,Pinot Noir,Erath,Erath winery US
22631,US,89,Pinot Noir,Failla,Failla winery US
22636,US,88,Cabernet Sauvignon,Arrowood,Arrowood winery US
22638,US,88,Sauvignon Blanc,Bogle,Bogle winery US
22639,US,88,Chardonnay,Carpe Diem,Carpe Diem winery US
22642,US,88,Chardonnay,Highflyer,Highflyer winery US
22643,US,88,Chardonnay,HKG,HKG winery US
22645,Italy,88,Syrah,I Giusti e Zanza,I Giusti e Zanza winery Italy
22646,US,88,Pinot Noir,J. Christopher,J. Christopher winery US
22655,Austria,88,Chardonnay,Rosenhof,Rosenhof winery Austria
22657,France,90,Chardonnay,Domaine Collotte,Domaine Collotte winery France
22661,US,90,Chardonnay,Drouhin Oregon Roserock,Drouhin Oregon Roserock winery US
22662,US,90,Cabernet Sauvignon,Easton,Easton winery US
22664,Chile,90,Sauvignon Blanc,Errazuriz,Errazuriz winery Chile
22669,US,90,Cabernet Sauvignon,Levendi,Levendi winery US
22673,Germany,90,Riesling,Max Ferd. Richter,Max Ferd. Richter winery Germany
22674,US,90,Merlot,Napa Cellars,Napa Cellars winery US
22675,US,90,Sauvignon Blanc,Ousterhout,Ousterhout winery US
22681,US,90,Pinot Noir,Rex Hill,Rex Hill winery US
22682,Germany,90,Riesling,Robert Weil,Robert Weil winery Germany
22684,US,90,Cabernet Sauvignon,Sequoia Grove,Sequoia Grove winery US
22685,US,90,Syrah,Shane Wines,Shane Wines winery US
22686,US,90,Cabernet Sauvignon,Sketchbook,Sketchbook winery US
22687,Slovakia,87,Riesling,Château Bela,Château Bela winery Slovakia
22689,France,87,Sauvignon Blanc,Domaine Joël Delaunay,Domaine Joël Delaunay winery France
22690,US,87,Chardonnay,Testarossa,Testarossa winery US
22691,France,87,Chardonnay,Romain Bouchard,Romain Bouchard winery France
22694,Italy,87,Pinot Noir,Natale Verga,Natale Verga winery Italy
22698,US,87,Chardonnay,Columbia Crest,Columbia Crest winery US
22699,France,87,Pinot Noir,Domaine Jessiaume,Domaine Jessiaume winery France
22700,US,87,Chardonnay,Grove Street,Grove Street winery US
22702,US,87,Pinot Noir,La Crema,La Crema winery US
22703,US,87,Pinot Noir,Martin Ray,Martin Ray winery US
22705,US,87,Syrah,Peter Cellars,Peter Cellars winery US
22706,US,87,Pinot Noir,Peters Family,Peters Family winery US
22707,Italy,87,Cabernet Sauvignon,Astoria,Astoria winery Italy
22709,France,87,Chardonnay,Domaines Astruc,Domaines Astruc winery France
22710,France,87,Merlot,Domaines Astruc,Domaines Astruc winery France
22718,France,94,Chardonnay,De Sousa & Fils,De Sousa & Fils winery France
22721,US,94,Cabernet Sauvignon,Veedercrest,Veedercrest winery US
22722,France,94,Chardonnay,Pierre Gimonnet et Fils,Pierre Gimonnet et Fils winery France
22724,France,94,Chardonnay,Pol Roger,Pol Roger winery France
22725,France,94,Riesling,Domaine Zind-Humbrecht,Domaine Zind-Humbrecht winery France
22726,US,94,Chardonnay,Vine Cliff,Vine Cliff winery US
22732,US,93,Cabernet Sauvignon,David Arthur,David Arthur winery US
22735,Chile,84,Pinot Noir,Morandé,Morandé winery Chile
22738,US,84,Cabernet Sauvignon,Wooldridge Creek,Wooldridge Creek winery US
22739,US,84,Sauvignon Blanc,J. Lohr,J. Lohr winery US
22741,US,84,Sauvignon Blanc,M. Trinchero,M. Trinchero winery US
22742,Chile,84,Chardonnay,Morandé,Morandé winery Chile
22745,US,84,Syrah,Wooldridge Creek,Wooldridge Creek winery US
22747,New Zealand,84,Riesling,Chancellor Estates,Chancellor Estates winery New Zealand
22751,New Zealand,84,Riesling,Red Hill (NZ),Red Hill (NZ) winery New Zealand
22752,New Zealand,84,Sauvignon Blanc,Lake Chalice,Lake Chalice winery New Zealand
22754,US,84,Pinot Noir,Firesteed,Firesteed winery US
22758,New Zealand,83,Pinot Noir,Chancellor Estates,Chancellor Estates winery New Zealand
22759,US,83,Chardonnay,King Estate,King Estate winery US
22761,US,83,Chardonnay,Ashland Vineyards,Ashland Vineyards winery US
22762,US,90,Pinot Noir,Talbott,Talbott winery US
22765,US,90,Pinot Noir,Byron,Byron winery US
22769,US,90,Syrah,Cima Collina,Cima Collina winery US
22778,US,90,Pinot Noir,Iron Horse,Iron Horse winery US
22780,Germany,90,Riesling,Leonard Kreusch,Leonard Kreusch winery Germany
22783,US,90,Cabernet Sauvignon,Martin Ray,Martin Ray winery US
22785,US,90,Rosé,Envy,Envy winery US
22786,US,90,Pinot Noir,Acacia,Acacia winery US
22787,US,90,Chardonnay,Amalie Robert,Amalie Robert winery US
22788,US,90,Pinot Noir,Barnett,Barnett winery US
22792,US,91,Syrah,Kontos,Kontos winery US
22794,Austria,91,Riesling,Nastl,Nastl winery Austria
22795,New Zealand,91,Sauvignon Blanc,Nautilus,Nautilus winery New Zealand
22800,US,91,Cabernet Sauvignon,Reynvaan Family Vineyards,Reynvaan Family Vineyards winery US
22805,US,91,Chardonnay,Sojourn,Sojourn winery US
22808,US,91,Syrah,Tenor,Tenor winery US
22814,US,91,Cabernet Sauvignon,L'Ecole No. 41,L'Ecole No. 41 winery US
22815,US,91,Syrah,McCrea,McCrea winery US
22816,US,91,Merlot,Occasio,Occasio winery US
22817,New Zealand,91,Sauvignon Blanc,Omaka Springs,Omaka Springs winery New Zealand
22818,US,91,Merlot,Pride Mountain,Pride Mountain winery US
22835,Italy,86,Chardonnay,Pizzolato,Pizzolato winery Italy
22836,Chile,86,Cabernet Sauvignon,Santa Carolina,Santa Carolina winery Chile
22837,Chile,86,Syrah,Santa Carolina,Santa Carolina winery Chile
22844,Chile,93,Syrah,Pangea,Pangea winery Chile
22845,US,93,Pinot Noir,Phillips Hill,Phillips Hill winery US
22848,US,93,Chardonnay,Roco,Roco winery US
22849,US,93,Pinot Noir,Sanguis,Sanguis winery US
22850,US,93,Pinot Noir,Sante Arcangeli,Sante Arcangeli winery US
22851,US,93,Pinot Noir,Domaine J. Meuret,Domaine J. Meuret winery US
22853,US,93,Pinot Noir,Westwood,Westwood winery US
22855,Germany,93,Riesling,Wittmann,Wittmann winery Germany
22856,US,93,Pinot Noir,Sojourn,Sojourn winery US
22857,US,93,Cabernet Sauvignon,Hall,Hall winery US
22858,US,93,Pinot Noir,J. Christopher,J. Christopher winery US
22861,Germany,93,Riesling,Karl Schaefer,Karl Schaefer winery Germany
22862,Australia,93,Chardonnay,Vasse Felix,Vasse Felix winery Australia
22865,France,93,Chardonnay,Pierre Gimonnet et Fils,Pierre Gimonnet et Fils winery France
22870,US,93,Cabernet Sauvignon,Tanner DaFoe,Tanner DaFoe winery US
22875,South Africa,88,Chardonnay,Le Bonheur,Le Bonheur winery South Africa
22877,US,88,Chardonnay,Ménage a Trois,Ménage a Trois winery US
22885,US,88,Chardonnay,Alpha Omega,Alpha Omega winery US
22888,US,88,Merlot,Brass Tacks,Brass Tacks winery US
22889,US,88,Chardonnay,Tantara,Tantara winery US
22891,US,88,Cabernet Sauvignon,Simi,Simi winery US
22896,US,88,Sauvignon Blanc,Occasio,Occasio winery US
22898,US,88,Cabernet Sauvignon,Titus,Titus winery US
22899,Chile,88,Syrah,Concha y Toro,Concha y Toro winery Chile
22901,US,88,Merlot,Fidelitas,Fidelitas winery US
22904,Chile,88,Cabernet Sauvignon,Asunto de Vino,Asunto de Vino winery Chile
22905,US,88,Pinot Noir,Belle Glos,Belle Glos winery US
22906,US,88,Riesling,Cave B,Cave B winery US
22911,France,89,Chardonnay,Domaine Sangouard-Guyot,Domaine Sangouard-Guyot winery France
22912,Italy,89,Chardonnay,Ferghettina,Ferghettina winery Italy
22915,US,88,Sauvignon Blanc,Bonterra,Bonterra winery US
22916,France,88,Chardonnay,Bouchard Aîné & Fils,Bouchard Aîné & Fils winery France
22922,US,88,Pinot Noir,Trisaetum,Trisaetum winery US
22924,France,88,Rosé,La Bastide Blanche,La Bastide Blanche winery France
22938,France,86,Rosé,Château Landereau,Château Landereau winery France
22940,US,86,Pinot Noir,Chessman,Chessman winery US
